,Observation station,Precipitation amount [mm],Snow depth [cm],Average temperature [°C],Date
127,Helsinki Kaisaniemi,-1.0,-1,8.0,2000-05-07
128,Helsinki Kaisaniemi,-1.0,-1,11.8,2000-05-08
129,Helsinki Kaisaniemi,-1.0,-1,12.5,2000-05-09
130,Helsinki Kaisaniemi,4.9,-1,11.6,2000-05-10
131,Helsinki Kaisaniemi,1.2,-1,8.5,2000-05-11
132,Helsinki Kaisaniemi,-1.0,-1,4.9,2000-05-12
133,Helsinki Kaisaniemi,0.0,-1,7.1,2000-05-13
134,Helsinki Kaisaniemi,-1.0,-1,10.7,2000-05-14
135,Helsinki Kaisaniemi,-1.0,-1,13.9,2000-05-15
136,Helsinki Kaisaniemi,-1.0,-1,8.4,2000-05-16
137,Helsinki Kaisaniemi,0.1,-1,10.0,2000-05-17
138,Helsinki Kaisaniemi,1.2,-1,11.9,2000-05-18
139,Helsinki Kaisaniemi,-1.0,-1,13.2,2000-05-19
140,Helsinki Kaisaniemi,-1.0,-1,13.7,2000-05-20
141,Helsinki Kaisaniemi,0.1,-1,11.0,2000-05-21
142,Helsinki Kaisaniemi,0.0,-1,11.1,2000-05-22
143,Helsinki Kaisaniemi,-1.0,-1,11.5,2000-05-23
144,Helsinki Kaisaniemi,2.3,-1,11.5,2000-05-24
145,Helsinki Kaisaniemi,9.0,-1,12.0,2000-05-25
146,Helsinki Kaisaniemi,0.3,-1,10.3,2000-05-26
147,Helsinki Kaisaniemi,1.8,-1,11.3,2000-05-27
148,Helsinki Kaisaniemi,11.4,-1,12.9,2000-05-28
149,Helsinki Kaisaniemi,0.7,-1,12.0,2000-05-29
150,Helsinki Kaisaniemi,-1.0,-1,11.4,2000-05-30
151,Helsinki Kaisaniemi,-1.0,-1,10.8,2000-05-31
152,Helsinki Kaisaniemi,-1.0,-1,11.4,2000-06-01
153,Helsinki Kaisaniemi,13.3,-1,10.6,2000-06-02
154,Helsinki Kaisaniemi,-1.0,-1,11.7,2000-06-03
155,Helsinki Kaisaniemi,-1.0,-1,10.3,2000-06-04
156,Helsinki Kaisaniemi,-1.0,-1,12.5,2000-06-05
157,Helsinki Kaisaniemi,-1.0,-1,12.4,2000-06-06
158,Helsinki Kaisaniemi,12.8,-1,10.0,2000-06-07
159,Helsinki Kaisaniemi,2.3,-1,10.2,2000-06-08
160,Helsinki Kaisaniemi,0.0,-1,15.2,2000-06-09
161,Helsinki Kaisaniemi,-1.0,-1,13.5,2000-06-10
162,Helsinki Kaisaniemi,1.2,-1,17.3,2000-06-11
163,Helsinki Kaisaniemi,0.2,-1,12.9,2000-06-12
164,Helsinki Kaisaniemi,0.0,-1,13.8,2000-06-13
165,Helsinki Kaisaniemi,0.0,-1,13.0,2000-06-14
166,Helsinki Kaisaniemi,0.6,-1,13.3,2000-06-15
167,Helsinki Kaisaniemi,6.7,-1,10.6,2000-06-16
168,Helsinki Kaisaniemi,0.0,-1,9.3,2000-06-17
169,Helsinki Kaisaniemi,0.1,-1,10.9,2000-06-18
170,Helsinki Kaisaniemi,0.0,-1,11.7,2000-06-19
171,Helsinki Kaisaniemi,-1.0,-1,15.2,2000-06-20
172,Helsinki Kaisaniemi,-1.0,-1,19.0,2000-06-21
173,Helsinki Kaisaniemi,0.0,-1,19.2,2000-06-22
174,Helsinki Kaisaniemi,0.5,-1,18.0,2000-06-23
175,Helsinki Kaisaniemi,0.0,-1,15.5,2000-06-24
176,Helsinki Kaisaniemi,14.8,-1,16.6,2000-06-25
177,Helsinki Kaisaniemi,4.7,-1,15.6,2000-06-26
178,Helsinki Kaisaniemi,-1.0,-1,15.1,2000-06-27
179,Helsinki Kaisaniemi,1.1,-1,17.0,2000-06-28
180,Helsinki Kaisaniemi,15.7,-1,19.6,2000-06-29
181,Helsinki Kaisaniemi,2.0,-1,15.3,2000-06-30
182,Helsinki Kaisaniemi,3.9,-1,15.3,2000-07-01
183,Helsinki Kaisaniemi,7.7,-1,15.0,2000-07-02
184,Helsinki Kaisaniemi,0.2,-1,16.9,2000-07-03
185,Helsinki Kaisaniemi,-1.0,-1,18.0,2000-07-04
186,Helsinki Kaisaniemi,-1.0,-1,18.9,2000-07-05
187,Helsinki Kaisaniemi,8.4,-1,18.0,2000-07-06
188,Helsinki Kaisaniemi,0.0,-1,18.5,2000-07-07
189,Helsinki Kaisaniemi,0.7,-1,16.1,2000-07-08
190,Helsinki Kaisaniemi,0.0,-1,15.4,2000-07-09
191,Helsinki Kaisaniemi,0.0,-1,15.8,2000-07-10
192,Helsinki Kaisaniemi,5.2,-1,17.2,2000-07-11
193,Helsinki Kaisaniemi,5.4,-1,19.7,2000-07-12
194,Helsinki Kaisaniemi,0.0,-1,16.5,2000-07-13
195,Helsinki Kaisaniemi,0.0,-1,15.6,2000-07-14
196,Helsinki Kaisaniemi,3.3,-1,17.5,2000-07-15
197,Helsinki Kaisaniemi,0.4,-1,15.9,2000-07-16
