Direct solar radiation mean [W/m2],Date,monthly_mean
154.8,2021-04-27,177.99666666666664
175.3,2021-04-28,177.99666666666664
145.8,2021-04-29,177.99666666666664
225.0,2021-04-30,177.99666666666664
44.9,2021-05-01,125.93870967741935
229.7,2021-05-02,125.93870967741935
159.9,2021-05-03,125.93870967741935
456.7,2021-05-04,125.93870967741935
17.2,2021-05-05,125.93870967741935
61.8,2021-05-06,125.93870967741935
1.1,2021-05-07,125.93870967741935
110.9,2021-05-08,125.93870967741935
368.2,2021-05-09,125.93870967741935
251.8,2021-05-10,125.93870967741935
0.9,2021-05-11,125.93870967741935
3.1,2021-05-12,125.93870967741935
162.1,2021-05-13,125.93870967741935
0.7,2021-05-14,125.93870967741935
0.8,2021-05-15,125.93870967741935
1.3,2021-05-16,125.93870967741935
168.7,2021-05-17,125.93870967741935
155.2,2021-05-18,125.93870967741935
25.5,2021-05-19,125.93870967741935
0.4,2021-05-20,125.93870967741935
0.6,2021-05-21,125.93870967741935
1.6,2021-05-22,125.93870967741935
9.2,2021-05-23,125.93870967741935
2.3,2021-05-24,125.93870967741935
3.0,2021-05-25,125.93870967741935
394.0,2021-05-26,125.93870967741935
498.4,2021-05-27,125.93870967741935
10.9,2021-05-28,125.93870967741935
89.3,2021-05-29,125.93870967741935
418.3,2021-05-30,125.93870967741935
255.6,2021-05-31,125.93870967741935
248.9,2021-06-01,301.9714285714286
552.8,2021-06-02,301.9714285714286
605.2,2021-06-03,301.9714285714286
518.7,2021-06-04,301.9714285714286
227.3,2021-06-05,301.9714285714286
632.7,2021-06-06,301.9714285714286
572.1,2021-06-07,301.9714285714286
192.1,2021-06-08,301.9714285714286
288.2,2021-06-09,301.9714285714286
465.1,2021-06-10,301.9714285714286
546.3,2021-06-11,301.9714285714286
271.4,2021-06-12,301.9714285714286
120.2,2021-06-13,301.9714285714286
246.1,2021-06-14,301.9714285714286
7.2,2021-06-15,301.9714285714286
253.3,2021-06-16,301.9714285714286
189.3,2021-06-17,301.9714285714286
0.7,2021-06-18,301.9714285714286
488.1,2021-06-19,301.9714285714286
3.1,2021-06-20,301.9714285714286
21.9,2021-06-21,301.9714285714286
100.0,2021-06-22,301.9714285714286
,2021-06-23,301.9714285714286
,2021-06-24,301.9714285714286
190.9,2021-06-25,301.9714285714286
360.9,2021-06-26,301.9714285714286
84.2,2021-06-27,301.9714285714286
526.2,2021-06-28,301.9714285714286
328.5,2021-06-29,301.9714285714286
413.8,2021-06-30,301.9714285714286
642.7,2021-07-01,248.1451612903226
613.7,2021-07-02,248.1451612903226
516.3,2021-07-03,248.1451612903226
492.2,2021-07-04,248.1451612903226
569.9,2021-07-05,248.1451612903226
213.9,2021-07-06,248.1451612903226
270.7,2021-07-07,248.1451612903226
136.4,2021-07-08,248.1451612903226
303.9,2021-07-09,248.1451612903226
533.4,2021-07-10,248.1451612903226
66.5,2021-07-11,248.1451612903226
170.9,2021-07-12,248.1451612903226
350.3,2021-07-13,248.1451612903226
351.8,2021-07-14,248.1451612903226
143.0,2021-07-15,248.1451612903226
394.2,2021-07-16,248.1451612903226
145.7,2021-07-17,248.1451612903226
14.2,2021-07-18,248.1451612903226
112.1,2021-07-19,248.1451612903226
221.4,2021-07-20,248.1451612903226
18.6,2021-07-21,248.1451612903226
72.3,2021-07-22,248.1451612903226
